District,LBCode,LBName,WardCode,WardName,Party,Candidate,Gender,Age,Address,Votes,Type,Rank,Lead,Front,LBType,Tier,WardTotalVotes,VotePercentage,Assembly,VoteBin,VoteStrength,Strength
IDUKKI,G06028,Kudayathoor,G06028006,CHAKKIKKAVU,INC,റോജി,,,,232,G,1,7,UDF,Grama,Ward,524,44.27,Idukki,40-50%,,Jan-49
IDUKKI,G06028,Kudayathoor,G06028006,CHAKKIKKAVU,KC(M),ഷൈജു റ്റി.സി തോട്ടപ്പള്ളിയിൽ,,,,225,G,2,-7,LDF,Grama,Ward,524,42.94,Idukki,40-50%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028006,CHAKKIKKAVU,BJP,സജി എം.ജി,,,,67,G,3,-165,NDA,Grama,Ward,524,12.79,Idukki,10-20%,,-100 to -199
IDUKKI,G06028,Kudayathoor,G06028007,MORKKAD,BJP,അജി മോഹനൻ,,,,187,G,1,34,NDA,Grama,Ward,453,41.28,Idukki,40-50%,,Jan-49
IDUKKI,G06028,Kudayathoor,G06028007,MORKKAD,INC,സുമ നാരായണൻ,,,,153,G,2,-34,UDF,Grama,Ward,453,33.77,Idukki,30-40%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028007,MORKKAD,KC(M),ഗ്രേസി സ്റ്റീഫൻ,,,,81,G,3,-106,LDF,Grama,Ward,453,17.88,Idukki,10-20%,,-100 to -199
IDUKKI,G06028,Kudayathoor,G06028007,MORKKAD,IND,ആശാ സാം,,,,32,G,4,-155,OTH,Grama,Ward,453,7.06,Idukki,0-10%,,-100 to -199
IDUKKI,G06028,Kudayathoor,G06028008,KUDAYATHOOR EAST,INC,പുഷ്പ വിജയൻ,,,,264,G,1,57,UDF,Grama,Ward,526,50.19,Idukki,50-60%,,50-99
IDUKKI,G06028,Kudayathoor,G06028008,KUDAYATHOOR EAST,CPI(M),ജോസഫ്.എൻ.ജെ.,,,,207,G,2,-57,LDF,Grama,Ward,526,39.35,Idukki,30-40%,,-50 to -99
IDUKKI,G06028,Kudayathoor,G06028008,KUDAYATHOOR EAST,BJP,റോയി ജോസഫ്,,,,55,G,3,-209,NDA,Grama,Ward,526,10.46,Idukki,10-20%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028009,KUDAYATHOOR CENTRAL,IND,തസ്‌നി ഷെഫീഖ്,,,,266,G,1,57,OTH,Grama,Ward,628,42.36,Idukki,40-50%,,50-99
IDUKKI,G06028,Kudayathoor,G06028009,KUDAYATHOOR CENTRAL,IND,ഫാസില അസ്സിസ്,,,,209,G,2,-57,OTH,Grama,Ward,628,33.28,Idukki,30-40%,,-50 to -99
IDUKKI,G06028,Kudayathoor,G06028009,KUDAYATHOOR CENTRAL,BJP,നിഷാ ഗിരീഷ്,,,,153,G,3,-113,NDA,Grama,Ward,628,24.36,Idukki,20-30%,,-100 to -199
IDUKKI,G06028,Kudayathoor,G06028011,ADOORMALA,BJP,ഷീബ ചന്ദ്രശേഖരപിള്ള,,,,351,G,1,272,NDA,Grama,Ward,503,69.78,Idukki,60-70%,,200-499
IDUKKI,G06028,Kudayathoor,G06028011,ADOORMALA,NCPSCP,സജിത ഷിനു,,,,79,G,2,-272,OTH,Grama,Ward,503,15.71,Idukki,10-20%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028011,ADOORMALA,INC,സജന ബോസ്,,,,73,G,3,-278,UDF,Grama,Ward,503,14.51,Idukki,10-20%,,-200 to -499
IDUKKI,G06028,Kudayathoor,G06028010,KUDAYATHOOR WEST,BJP,ബിന്ദു സുധാകരൻ,,,,253,G,1,26,NDA,Grama,Ward,586,43.17,Idukki,40-50%,,Jan-49
IDUKKI,G06028,Kudayathoor,G06028010,KUDAYATHOOR WEST,INC,സിജി സുരേഷ്,,,,227,G,2,-26,UDF,Grama,Ward,586,38.74,Idukki,30-40%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028010,KUDAYATHOOR WEST,IND,രജനി അനില്‍കുമാർ,,,,106,G,3,-147,OTH,Grama,Ward,586,18.09,Idukki,10-20%,,-100 to -199
IDUKKI,G06028,Kudayathoor,G06028012,KOLAPRA SOUTH,BJP,ബിജു കെ.യു (കണ്ടത്തിൽ),,,,218,G,1,13,NDA,Grama,Ward,507,43,Idukki,40-50%,,Jan-49
IDUKKI,G06028,Kudayathoor,G06028012,KOLAPRA SOUTH,CPI(M),ജിനു പി യു,,,,205,G,2,-13,LDF,Grama,Ward,507,40.43,Idukki,40-50%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028012,KOLAPRA SOUTH,INC,കെ എ ഷാജികുമാർ,,,,84,G,3,-134,UDF,Grama,Ward,507,16.57,Idukki,10-20%,,-100 to -199
IDUKKI,G06028,Kudayathoor,G06028013,SANKARAPPALLY,IND,പ്രതിഭ ജിജു,,,,165,G,1,21,OTH,Grama,Ward,435,37.93,Idukki,30-40%,,Jan-49
IDUKKI,G06028,Kudayathoor,G06028013,SANKARAPPALLY,BJP,ഷിബി ബിനോ (വാഴയിൽ),,,,144,G,2,-21,NDA,Grama,Ward,435,33.1,Idukki,30-40%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028013,SANKARAPPALLY,INC,രശ്‌മി ബിജു,,,,126,G,3,-39,UDF,Grama,Ward,435,28.97,Idukki,20-30%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028014,KOLAPRA THALAYANADU,INC,ഫ്രാന്‍സിസ്,,,,261,G,1,24,UDF,Grama,Ward,537,48.6,Idukki,40-50%,,Jan-49
IDUKKI,G06028,Kudayathoor,G06028014,KOLAPRA THALAYANADU,CPI(M),പി.പി.സൂര്യകുമാർ,,,,237,G,2,-24,LDF,Grama,Ward,537,44.13,Idukki,40-50%,,-1 to -49
IDUKKI,G06028,Kudayathoor,G06028014,KOLAPRA THALAYANADU,BJP,സജി ബാലൻ (ആലിപ്പറമ്പിൽ),,,,39,G,3,-222,NDA,Grama,Ward,537,7.26,Idukki,0-10%,,-200 to -499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029001,THATTEKKANNI,INC,അനിത സുനിൽ,,,,252,G,1,121,UDF,Grama,Ward,465,54.19,Idukki,50-60%,,100-199
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029001,THATTEKKANNI,IND,എത്സമ്മ ജോണി,,,,131,G,2,-121,OTH,Grama,Ward,465,28.17,Idukki,20-30%,,-100 to -199
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029001,THATTEKKANNI,BJP,മായ വിനോദ് കിഴക്കേൽ,,,,82,G,3,-170,NDA,Grama,Ward,465,17.63,Idukki,10-20%,,-100 to -199
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029002,KEERITHODE,INC,അന്നമ്മ ബാബു,,,,556,G,1,215,UDF,Grama,Ward,938,59.28,Idukki,50-60%,,200-499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029002,KEERITHODE,CPI,റ്റിന്‍സി തോമസ്,,,,341,G,2,-215,LDF,Grama,Ward,938,36.35,Idukki,30-40%,,-200 to -499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029002,KEERITHODE,BJP,ഓമന രാജൻ,,,,41,G,3,-515,NDA,Grama,Ward,938,4.37,Idukki,0-10%,,-500 or less
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029003,ANCHUKUDY,INC,സാവിത്രി സതീശൻ,,,,517,G,1,285,UDF,Grama,Ward,842,61.4,Idukki,60-70%,,200-499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029003,ANCHUKUDY,IND,റ്റീനാ ബിനോയി,,,,232,G,2,-285,OTH,Grama,Ward,842,27.55,Idukki,20-30%,,-200 to -499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029003,ANCHUKUDY,BJP,ബിന്ദു പ്രസാദ്,,,,93,G,3,-424,NDA,Grama,Ward,842,11.05,Idukki,10-20%,,-200 to -499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029004,CHELACHUVADU,INC,കോമളം മോഹൻദാസ്,,,,496,G,1,216,UDF,Grama,Ward,816,60.78,Idukki,60-70%,,200-499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029004,CHELACHUVADU,IND,സ്വപ്ന ജയൻ,,,,280,G,2,-216,OTH,Grama,Ward,816,34.31,Idukki,30-40%,,-200 to -499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029004,CHELACHUVADU,BJP,രജനി അനീഷ്,,,,40,G,3,-456,NDA,Grama,Ward,816,4.9,Idukki,0-10%,,-200 to -499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029005,KATHIPPARA,INC,ടോമി നെല്ലിപ്പള്ളി,,,,479,G,1,118,UDF,Grama,Ward,920,52.07,Idukki,50-60%,,100-199
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029005,KATHIPPARA,KC(M),സാൻേറാ അഗസ്റ്റിൻ,,,,361,G,2,-118,LDF,Grama,Ward,920,39.24,Idukki,30-40%,,-100 to -199
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029005,KATHIPPARA,BJP,ക്രൂഷ്ചേവ്,,,,80,G,3,-399,NDA,Grama,Ward,920,8.7,Idukki,0-10%,,-200 to -499
IDUKKI,G06029,Idukki-Kanjikuzhy,G06029006,ATTIKKALAM,INC,സോയിമോൻ സണ്ണി,,,,501,G,1,238,UDF,Grama,Ward,824,60.8,Idukki,60-70%,,200-499
